type,price,datetime,prev_candle_idx,curr_candle_idx,prev_high,curr_high,prev_close,curr_close,retracement_pct,num_hits,num_reversals,strength_score,strength
resistance,22727.1,2024-04-10 09:45:00,886,887,22727.1,22722.7,22720.75,22700.55,0.11682088783874438,18,5,70.23,Very Strong
resistance,22528.35,2024-04-05 14:00:00,825,826,22510.95,22528.35,22508.35,22504.05,0.10786409124502803,10,5,70.22,Very Strong
resistance,22491.5,2024-04-01 11:30:00,711,712,22491.5,22487.2,22481.75,22467.25,0.10781850921459217,48,5,70.22,Very Strong
resistance,26208.1,2024-09-27 13:15:00,1030,1031,26208.1,26193.45,26189.85,26179.7,0.10836344488916716,8,4,70.22,Very Strong
resistance,25315.65,2025-10-15 12:00:00,2064,2065,25315.65,25312.8,25306.95,25288.25,0.1082334445293779,10,4,70.22,Very Strong
resistance,24988.9,2024-10-08 11:30:00,1179,1180,24975.95,24988.9,24973.8,24961.05,0.11144948357071413,53,3,70.22,Very Strong
resistance,25086.25,2024-10-07 10:00:00,1147,1148,25083.75,25086.25,25077.75,25058.8,0.10942249240121871,89,7,70.22,Very Strong
resistance,22455.4,2024-04-02 10:15:00,732,733,22455.4,22448.35,22433.6,22430.15,0.11244511342483321,39,4,70.22,Very Strong
resistance,23180.5,2025-04-01 13:45:00,1474,1475,23180.5,23178.35,23171.1,23154.75,0.11108474795625634,8,3,70.22,Very Strong
resistance,19827.45,2023-10-12 11:15:00,502,503,19827.45,19824.8,19824.45,19805.8,0.10919205444977267,38,6,70.22,Very Strong
resistance,19414.0,2023-10-04 10:00:00,341,342,19414.0,19402.5,19400.65,19392.95,0.10842690841660282,10,4,70.22,Very Strong
resistance,17691.1,2023-04-17 13:00:00,223,224,17691.1,17683.15,17680.35,17671.25,0.11220331126950019,22,4,70.22,Very Strong
resistance,25192.0,2025-10-08 09:45:00,1926,1927,25192.0,25178.3,25177.4,25165.0,0.10717688154969832,32,6,70.21,Very Strong
resistance,19663.9,2023-10-19 13:00:00,639,640,19663.9,19656.4,19652.35,19643.7,0.1027263157359462,8,4,70.21,Very Strong
resistance,23311.85,2025-04-02 11:00:00,1489,1490,23302.0,23311.85,23292.7,23287.5,0.1044533145160017,35,5,70.21,Very Strong
resistance,19549.55,2023-10-05 13:00:00,379,380,19549.55,19546.0,19543.35,19529.35,0.10332718655928513,46,6,70.21,Very Strong
resistance,23330.65,2025-04-15 09:45:00,1666,1667,23318.55,23330.65,23310.95,23306.1,0.1052263867487743,21,4,70.21,Very Strong
resistance,17381.3,2023-03-31 15:00:00,23,24,17376.95,17381.3,17366.6,17363.2,0.10413490360328943,10,5,70.21,Very Strong
resistance,25873.0,2024-10-01 09:45:00,1068,1069,25869.55,25873.0,25861.3,25845.7,0.10551540215668563,24,6,70.21,Very Strong
resistance,25359.4,2024-10-04 11:00:00,1125,1126,25359.4,25349.4,25339.45,25332.6,0.1056807337713152,9,4,70.21,Very Strong
resistance,24979.9,2024-10-11 13:30:00,1265,1266,24979.9,24976.1,24965.95,24953.6,0.10528464885769323,34,4,70.21,Very Strong
resistance,19713.2,2023-10-13 10:00:00,523,524,19713.0,19713.2,19711.45,19692.55,0.10475214577035416,24,3,70.21,Very Strong
resistance,26099.6,2025-10-23 10:15:00,2187,2188,26096.7,26099.6,26095.9,26073.4,0.10038468022497314,8,5,70.2,Very Strong
resistance,22918.8,2025-04-04 14:15:00,1554,1555,22913.8,22918.8,22909.6,22895.4,0.1020995863657688,9,6,70.2,Very Strong
resistance,25146.3,2024-10-14 14:45:00,1296,1297,25146.3,25139.55,25136.2,25121.0,0.10061122312228549,47,5,70.2,Very Strong
resistance,25330.2,2025-10-10 13:45:00,1994,1995,25330.2,25324.6,25316.25,25304.95,0.09968338189197085,21,7,70.2,Very Strong
resistance,19708.45,2023-10-10 15:00:00,465,466,19708.45,19705.8,19702.6,19688.3,0.10224040957052154,26,5,70.2,Very Strong
resistance,24805.7,2025-09-26 10:45:00,1748,1749,24803.8,24805.7,24800.35,24781.45,0.09775978908073547,21,8,70.2,Very Strong
resistance,25039.65,2024-10-16 11:00:00,1333,1334,25034.55,25039.65,25031.75,25015.1,0.09804450142075832,27,7,70.2,Very Strong
resistance,25051.1,2024-10-10 12:30:00,1235,1236,25051.1,25046.35,25041.9,25026.3,0.09899764880583796,57,5,70.2,Very Strong
resistance,22688.25,2024-04-08 14:30:00,853,854,22679.2,22688.25,22669.2,22665.15,0.10181481603913278,31,7,70.2,Very Strong
resistance,25201.95,2025-10-07 10:15:00,1902,1903,25201.95,25191.6,25183.65,25177.0,0.09900027577231417,40,5,70.2,Very Strong
